Date,France (Top 10%),France (Top 1%),France (Top 0.1%),France (Top 1% -Paris),UK (Top 10%),UK (Top 1%),UK (Top 0.1%),series1,US (Top 1%),US (Top 0.1%),Sweden (Top 10%),Sweden (Top 1%),Sweden (Top 0.1%),Europe (Top 10%),Europe (Top 1%),Europe (Top 0.1%)
2010-12-31,62.4,24.4,7.238507307,27.15563498,70.5,28.0,,71.5,33.8,14.73477078,58.77,20.71,,63.89,24.37,
2000-12-31,62.1,23.5,6.971513185,26.15399271,68.5,27.0,,69.65,33.05,14.4078158,57.81,20.48,6.7,62.80333333,23.66,6.7
1990-12-31,60.96215934,21.70633344,6.439403821,24.15775687,64.0,24.0,,68.7,32.9,13.89887098,57.7,19.5,,60.88738645,21.73544448,
1980-12-31,61.84276342,22.01988346,6.726281814,25.0,62.6,22.7,,67.2,30.1,12.40818362,53.4,16.5,,59.28092114,20.40662782,
1970-12-31,62.0,22.0,7.0,25.5,64.1,22.6,,64.18200114,28.18200114,11.5141966,54.7,17.7,,60.26666667,20.76666667,
1960-12-31,69.94262587,31.89640764,11.48885604,35.28539543,71.5,33.9,,67.0,31.4,13.439582,63.23,23.41,8.17,68.22420862,29.73546921,
1950-12-31,72.79647007,33.40325586,12.06261495,38.85572602,76.0,47.2,,65.66553524,29.66553524,12.27739179,77.29,32.81,9.65,75.36215669,37.80441862,
1940-12-31,75.77922545,36.30260303,13.67665907,52.41158672,,,,66.38948644,30.38948644,13.50159744,83.17,37.69,17.7,,,
1930-12-31,79.95862635,47.3513601,22.3648169,54.76320632,85.0,55.0,,73.40596342,37.40596342,20.08418367,83.55,42.77,,82.83620878,48.3737867,
1920-12-31,81.65627889,49.23438714,23.10696224,60.03279456,89.0,61.0,,79.72690161,43.72690161,22.90724179,87.69,53.79,,86.1154263,54.67479571,
1910-12-31,88.49613305,60.49945197,28.97591116,70.72090458,92.0,69.0,,81.12975137,45.12975137,24.82468466,88.15,61.1,29.355,89.54871102,63.53315066,
1900-12-31,87.3418055,58.66712576,28.08298814,66.07169989,,,,,,,,,,,,
1890-12-31,84.74493793,51.14219896,20.21212077,58.15229132,,,,,,,,,,,,
1880-12-31,84.64124026,49.50721878,21.14382458,61.87150968,,,,,,,,,,,,
1870-12-31,81.81164778,50.35582695,18.29986866,55.67629171,87.1,61.1,,71.0,32.0,,87.165,57.265,29.575,85.35888259,56.24027565,
1860-12-31,83.7101868,51.99535624,18.29919779,55.11359769,,,,,,,,,,,,
1850-12-31,82.4394278,50.27016952,19.35375585,58.57911315,,,,,,,,,,,,
1840-12-31,80.41448469,45.95514336,15.48735478,52.55458616,,,,,,,,,,,,
1830-12-31,83.2211034,47.5008792,17.12431076,51.96642952,,,,,,,,,,,,
1820-12-31,81.84428358,46.71501901,18.97876486,59.01245754,,,,,,,,,,,,
1810-12-31,79.87878169,45.59315131,17.14207139,53.7367995,82.9,54.9,,58.0,25.0,,83.9,55.9,,82.22626056,52.13105044,
